sms;atrib;atributo
1009;38;Atributo_4
1010;663;Atributo_63
1014;898;Atributo_10
1019;88;Atributo_13
1020;28;Atributo_1
1020;57;Atributo_6
1020;470;Atributo_19
1021;898;Atributo_10
1024;870;Atributo_26
1025;523;Atributo_33
1025;652;Atributo_8
1025;898;Atributo_10
1026;523;Atributo_33
1026;652;Atributo_8
1026;898;Atributo_10
1027;523;Atributo_33
1027;652;Atributo_8
1027;898;Atributo_10
1030;28;Atributo_1
1031;57;Atributo_6
1032;826;Atributo_53
1033;826;Atributo_53
1034;37;Atributo_31
1034;596;Atributo_56
1035;37;Atributo_31
1035;596;Atributo_56
1038;28;Atributo_1
1039;47;Atributo_23
1039;57;Atributo_6
1039;896;Atributo_15
1040;470;Atributo_19
1041;4;Atributo_11
1042;45;Atributo_39
1042;776;Atributo_102
1042;896;Atributo_15
1043;28;Atributo_1
1045;898;Atributo_10
1047;898;Atributo_10
1051;898;Atributo_10
1053;30;Atributo_2
1053;31;Atributo_3
1054;4;Atributo_11
1056;35;Atributo_22
1056;57;Atributo_6
1056;896;Atributo_15
1057;652;Atributo_8
1057;898;Atributo_10
1058;31;Atributo_3
1058;38;Atributo_4
1059;30;Atributo_2
1059;38;Atributo_4
1059;599;Atributo_57
1060;30;Atributo_2
1060;38;Atributo_4
1060;599;Atributo_57
1061;652;Atributo_8
1061;898;Atributo_10
1066;898;Atributo_10
1067;35;Atributo_22
1067;56;Atributo_5
1067;57;Atributo_6
1067;73;Atributo_7
1067;80;Atributo_80
1068;33;Atributo_38
1068;57;Atributo_6
1068;73;Atributo_7
1068;80;Atributo_80
1069;33;Atributo_38
1069;57;Atributo_6
1069;73;Atributo_7
1069;80;Atributo_80
1070;33;Atributo_38
1070;57;Atributo_6
1070;73;Atributo_7
1070;80;Atributo_80
1071;35;Atributo_22
1071;47;Atributo_23
1071;56;Atributo_5
1071;57;Atributo_6
1071;73;Atributo_7
1071;80;Atributo_80
1072;57;Atributo_6
1072;80;Atributo_80
1073;57;Atributo_6
1074;57;Atributo_6
1076;660;Atributo_91
1077;57;Atributo_6
1079;57;Atributo_6
1080;652;Atributo_8
1081;28;Atributo_1
1082;652;Atributo_8
1082;898;Atributo_10
1084;898;Atributo_10
1085;28;Atributo_1
1087;652;Atributo_8
1087;898;Atributo_10
1088;24;Atributo_48
1088;55;Atributo_32
1089;24;Atributo_48
1089;55;Atributo_32
1089;64;Atributo_46
1093;54;Atributo_40
1094;54;Atributo_40
1095;54;Atributo_40
1097;88;Atributo_13
1100;35;Atributo_22
1101;35;Atributo_22
1102;652;Atributo_8
1103;664;Atributo_44
1103;898;Atributo_10
1105;24;Atributo_48
1105;26;Atributo_35
1105;27;Atributo_36
1105;46;Atributo_12
1105;55;Atributo_32
1105;64;Atributo_46
1106;24;Atributo_48
1106;26;Atributo_35
1106;46;Atributo_12
1106;64;Atributo_46
1106;652;Atributo_8
1106;668;Atributo_111
1107;24;Atributo_48
1107;26;Atributo_35
1107;27;Atributo_36
1107;46;Atributo_12
1107;64;Atributo_46
1108;55;Atributo_32
1109;843;Atributo_43
1110;64;Atributo_46
1110;843;Atributo_43
1111;24;Atributo_48
1111;55;Atributo_32
1111;64;Atributo_46
1111;843;Atributo_43
1112;275;Atributo_20
1112;843;Atributo_43
1116;645;Atributo_106
1116;664;Atributo_44
1116;898;Atributo_10
1117;652;Atributo_8
1117;898;Atributo_10
1118;36;Atributo_49
1118;55;Atributo_32
1119;36;Atributo_49
1119;55;Atributo_32
1120;36;Atributo_49
1120;55;Atributo_32
1121;36;Atributo_49
1121;55;Atributo_32
1122;36;Atributo_49
1122;55;Atributo_32
1123;652;Atributo_8
1123;898;Atributo_10
1125;898;Atributo_10
1126;701;Atributo_9
1127;54;Atributo_40
1128;88;Atributo_13
1129;57;Atributo_6
1129;73;Atributo_7
1129;652;Atributo_8
1129;898;Atributo_10
1131;645;Atributo_106
1131;664;Atributo_44
1132;645;Atributo_106
1136;898;Atributo_10
1137;38;Atributo_4
1138;652;Atributo_8
1138;898;Atributo_10
1141;53;Atributo_24
1142;664;Atributo_44
1143;663;Atributo_63
1144;652;Atributo_8
1144;898;Atributo_10
1145;64;Atributo_46
1145;590;Atributo_78
1146;64;Atributo_46
1146;590;Atributo_78
1147;40;Atributo_16
1148;40;Atributo_16
1149;40;Atributo_16
1150;40;Atributo_16
1151;40;Atributo_16
1152;40;Atributo_16
1154;40;Atributo_16
1155;652;Atributo_8
1155;898;Atributo_10
1156;32;Atributo_37
1157;4;Atributo_11
1157;655;Atributo_14
1158;898;Atributo_10
1162;898;Atributo_10
1163;898;Atributo_10
1165;652;Atributo_8
1165;898;Atributo_10
1168;56;Atributo_5
1168;57;Atributo_6
1169;30;Atributo_2
1170;30;Atributo_2
1171;30;Atributo_2
1172;30;Atributo_2
1172;31;Atributo_3
1173;31;Atributo_3
1174;30;Atributo_2
1174;31;Atributo_3
1175;30;Atributo_2
1175;31;Atributo_3
1175;38;Atributo_4
1176;56;Atributo_5
1176;57;Atributo_6
1177;30;Atributo_2
1177;31;Atributo_3
1177;38;Atributo_4
1178;30;Atributo_2
1178;31;Atributo_3
1178;38;Atributo_4
1179;652;Atributo_8
1179;898;Atributo_10
1182;30;Atributo_2
1182;31;Atributo_3
1183;30;Atributo_2
1183;31;Atributo_3
1184;30;Atributo_2
1185;30;Atributo_2
1186;30;Atributo_2
1186;31;Atributo_3
1187;30;Atributo_2
1188;30;Atributo_2
1189;30;Atributo_2
1190;30;Atributo_2
1191;30;Atributo_2
1192;30;Atributo_2
1193;30;Atributo_2
1194;30;Atributo_2
1195;30;Atributo_2
1196;30;Atributo_2
1197;30;Atributo_2
1198;30;Atributo_2
1199;30;Atributo_2
1200;30;Atributo_2
1201;30;Atributo_2
1202;30;Atributo_2
1203;30;Atributo_2
1204;30;Atributo_2
1205;30;Atributo_2
1206;30;Atributo_2
1207;30;Atributo_2
1208;30;Atributo_2
1210;30;Atributo_2
1211;652;Atributo_8
1212;30;Atributo_2
1213;30;Atributo_2
1214;30;Atributo_2
1215;701;Atributo_9
1216;701;Atributo_9
1217;32;Atributo_37
1217;595;Atributo_60
1219;35;Atributo_22
1220;35;Atributo_22
1221;35;Atributo_22
1222;35;Atributo_22
1223;32;Atributo_37
1223;37;Atributo_31
1223;470;Atributo_19
1224;32;Atributo_37
1224;896;Atributo_15
1225;37;Atributo_31
1225;73;Atributo_7
1225;896;Atributo_15
1226;32;Atributo_37
1227;32;Atributo_37
1228;32;Atributo_37
1229;24;Atributo_48
1229;64;Atributo_46
1229;589;Atributo_77
1230;64;Atributo_46
1230;590;Atributo_78
1231;64;Atributo_46
1231;590;Atributo_78
1232;64;Atributo_46
1232;590;Atributo_78
1233;898;Atributo_10
1234;30;Atributo_2
1234;38;Atributo_4
1234;599;Atributo_57
1235;5;Atributo_45
1235;663;Atributo_63
1236;470;Atributo_19
1242;27;Atributo_36
1244;26;Atributo_35
1244;27;Atributo_36
1245;26;Atributo_35
1245;27;Atributo_36
1246;24;Atributo_48
1246;26;Atributo_35
1246;27;Atributo_36
1246;46;Atributo_12
1246;55;Atributo_32
1246;64;Atributo_46
1247;26;Atributo_35
1247;27;Atributo_36
1248;57;Atributo_6
1249;24;Atributo_48
1249;26;Atributo_35
1249;27;Atributo_36
1249;46;Atributo_12
1249;55;Atributo_32
1249;64;Atributo_46
1253;645;Atributo_106
1253;664;Atributo_44
1253;898;Atributo_10
1254;645;Atributo_106
1254;664;Atributo_44
1254;898;Atributo_10
1255;645;Atributo_106
1255;664;Atributo_44
1256;898;Atributo_10
1258;898;Atributo_10
1259;645;Atributo_106
1259;898;Atributo_10
1260;645;Atributo_106
1260;664;Atributo_44
1260;898;Atributo_10
1261;664;Atributo_44
1261;898;Atributo_10
1262;37;Atributo_31
1262;57;Atributo_6
1262;470;Atributo_19
1263;663;Atributo_63
1265;37;Atributo_31
1265;65;Atributo_71
1265;80;Atributo_80
1266;27;Atributo_36
1267;898;Atributo_10
1270;275;Atributo_20
1270;628;Atributo_29
1270;898;Atributo_10
1273;30;Atributo_2
1273;38;Atributo_4
1274;652;Atributo_8
1274;898;Atributo_10
1275;35;Atributo_22
1276;28;Atributo_1
1276;57;Atributo_6
1277;73;Atributo_7
1277;896;Atributo_15
1278;60;Atributo_17
1279;776;Atributo_102
1281;652;Atributo_8
1281;898;Atributo_10
1282;652;Atributo_8
1282;664;Atributo_44
1282;898;Atributo_10
1283;645;Atributo_106
1283;652;Atributo_8
1283;898;Atributo_10
1285;37;Atributo_31
1285;40;Atributo_16
1285;53;Atributo_24
1285;652;Atributo_8
1286;37;Atributo_31
1286;40;Atributo_16
1286;53;Atributo_24
1287;37;Atributo_31
1287;40;Atributo_16
1287;53;Atributo_24
1290;4;Atributo_11
1291;652;Atributo_8
1291;898;Atributo_10
1292;55;Atributo_32
1293;652;Atributo_8
1293;898;Atributo_10
1296;652;Atributo_8
1296;898;Atributo_10
1297;581;Atributo_65
1297;663;Atributo_63
1298;652;Atributo_8
1298;898;Atributo_10
1299;663;Atributo_63
1300;30;Atributo_2
1301;30;Atributo_2
1302;9;Atributo_94
1304;46;Atributo_12
1305;46;Atributo_12
1307;57;Atributo_6
1309;601;Atributo_70
1309;896;Atributo_15
1310;38;Atributo_4
1311;38;Atributo_4
1312;898;Atributo_10
1314;57;Atributo_6
1315;57;Atributo_6
1316;57;Atributo_6
1317;57;Atributo_6
1318;57;Atributo_6
1319;57;Atributo_6
1320;57;Atributo_6
1321;56;Atributo_5
1321;57;Atributo_6
1321;73;Atributo_7
1322;57;Atributo_6
1323;56;Atributo_5
1323;57;Atributo_6
1323;73;Atributo_7
1324;898;Atributo_10
1325;30;Atributo_2
1325;31;Atributo_3
1326;56;Atributo_5
1326;57;Atributo_6
